CountryCode,Year,Pop_Tot,PopLrgCity,GDPPerCapGrwth_PctAn,LifeExpBirth_NumYrs,ContryName
CHN,1970,818315000,6036492,16.14767541,62.9062439,China
USA,1970,205052000,16191180,2.011421857,70.80731707,United States
CHN,1971,841105000,5952201,4.100801921,63.8722439,China
USA,1971,207661000,16128515,1.994125678,71.10731707,United States
CHN,1972,862030000,5868972,1.280348712,64.52146341,China
USA,1972,209896000,16066007,4.128624426,71.15609756,United States
CHN,1973,881940000,5787132,5.464132481,65.00329268,China
USA,1973,211909000,16003912,4.639107872,71.35609756,United States
CHN,1974,900350000,5706322,0.208210141,65.37929268,China
USA,1974,213854000,15941972,-1.421575714,71.95609756,United States
CHN,1975,916395000,5626640,6.796790685,65.69958537,China
USA,1975,215973000,15880271,-1.177701918,72.60487805,United States
CHN,1976,930685000,5547964,-3.110861355,65.99443902,China
USA,1976,218035000,15818725,4.390451003,72.85609756,United States
CHN,1977,943455000,5470600,6.143595614,66.26404878,China
USA,1977,220239000,15757586,3.562179562,73.25609756,United States
CHN,1978,956165000,5630964,10.2152071,66.51373171,China
USA,1978,222585000,15696599,4.448397717,73.35609756,United States
CHN,1979,969005000,5796030,6.174224075,66.76229268,China
USA,1979,225055000,15635849,2.043154855,73.80487805,United States
CHN,1980,981235000,5966171,6.456393219,67.02360976,China
USA,1980,227225000,15601401,-1.197276837,73.65853659,United States
CHN,1981,993885000,6140818,3.861032212,67.29765854,China
USA,1981,229466000,15646170,1.592945818,74.00731707,United States
CHN,1982,1008630000,6320829,7.50508462,67.57209756,China
USA,1982,231664000,15691130,-2.841228539,74.36097561,United States
CHN,1983,1023310000,6491492,9.30907252,67.8365122,China
USA,1983,233792000,15736220,3.680349904,74.46341463,United States
CHN,1984,1036825000,6667007,13.69836954,68.09290244,China
USA,1984,235825000,15781501,6.334321623,74.56341463,United States
CHN,1985,1051040000,6846765,11.96494662,68.34129268,China
USA,1985,237924000,15826788,3.319653926,74.56341463,United States
CHN,1986,1066790000,7031628,7.19368573,68.58217073,China
USA,1986,240133000,15872267,2.559658192,74.61463415,United States
CHN,1987,1084035000,7221482,9.824649573,68.81553659,China
USA,1987,242289000,15917876,2.54084597,74.76585366,United States
CHN,1988,1101630000,7416734,9.522340078,69.04239024,China
USA,1988,244499000,15963680,3.261760553,74.76585366,United States
CHN,1989,1118650000,7616707,2.516142672,69.2622439,China
USA,1989,246819000,16009490,2.706306923,75.01707317,United States
CHN,1990,1135185000,7822912,2.288058775,69.47156098,China
USA,1990,249623000,16085599,0.773805002,75.21463415,United States
CHN,1991,1150780000,8244525,7.720156763,69.66131707,China
USA,1991,252981000,16253492,-1.399070947,75.36585366,United States
CHN,1992,1164970000,8689489,12.80897877,69.832,China
USA,1992,256514000,16423372,2.128967677,75.64219512,United States
CHN,1993,1178440000,9157144,12.69693833,69.99065854,China
USA,1993,259919000,16594553,1.399054569,75.4195122,United States
CHN,1994,1191835000,9650664,11.82887229,70.14782927,China
USA,1994,263126000,16767758,2.768459358,75.57439024,United States
CHN,1995,1204855000,10170783,9.701583593,70.32917073,China
USA,1995,266278000,16942770,1.502720787,75.62195122,United States
CHN,1996,1217550000,10719709,8.853065583,70.56282927,China
USA,1996,269394000,17119854,2.595285987,75.99658537,United States
CHN,1997,1230075000,11296627,8.187073959,70.86390244,China
USA,1997,272657000,17298295,3.236971988,76.42926829,United States
CHN,1998,1241935000,11905455,6.770551599,71.23487805,China
USA,1998,275854000,17478845,3.239309667,76.5804878,United States
CHN,1999,1252735000,12547095,6.672365664,71.66870732,China
USA,1999,279040000,17661279,3.649418593,76.58292683,United States
CHN,2000,1262645000,13224272,7.549211378,72.14073171,China
USA,2000,282162411,17845873,2.938792671,76.63658537,United States
CHN,2001,1271850000,13692204,7.516179974,72.61978049,China
USA,2001,284968955,18030947,-0.045550618,76.73658537,United States
CHN,2002,1280400000,14050862,8.371473758,73.06960976,China
USA,2002,287625193,18214058,0.836287505,76.83658537,United States
CHN,2003,1288400000,14418914,9.316982304,73.46509756,China
USA,2003,290107933,18392411,1.911241228,76.98780488,United States
CHN,2004,1296075000,14797134,9.448018055,73.79370732,China
USA,2004,292805298,18563727,2.841838043,77.33902439,United States
CHN,2005,1303720000,15184194,10.647338,74.05390244,China
USA,2005,295516599,18727009,2.40301614,77.33902439,United States
CHN,2006,1311020000,15581933,12.07246571,74.25631707,China
USA,2006,298379912,18881930,1.681345591,77.58780488,United States
CHN,2007,1317885000,15895632,13.60512033,74.42407317,China
USA,2007,301231207,19028662,0.826427921,77.83902439,United States
CHN,2008,1324655000,16118581,9.03986019,74.57982927,China
USA,2008,304093966,19167635,-1.229057379,77.93902439,United States
CHN,2009,1331260000,16344031,8.658208013,74.73163415,China
USA,2009,306771529,19299681,-3.650781352,78.0902439,United States
CHN,2010,1337705000,16575110,9.868097974,74.88502439,China
USA,2010,309326225,19425069,1.66070187,78.54146341,United States
CHN,2011,1344130000,16813634,8.777541235,75.042,China
USA,2011,311587816,19544371,1.107930604,78.64146341,United States
CHN,2012,1350695000,17060364,7.276042334,,China
USA,2012,313914040,19658056,2.017327147,,United States